Cuticular Protein Name,Species,Phylum,Subphylum,Class,Order,Family,Genus,Protein Family,Function,Reference,DOI
Aae_CPR100A,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,CPR RR-1,,Chen et al.,doi.org/10.1016/j.ijbiomac.2024.131704
Aae_L000085-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L004771-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L008973-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L008980-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L008996-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L009001-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L014769-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_L015281-PA,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Riaz et al.,doi.org/10.1016/j.aquatox.2012.09.010
Aae_PC,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,CPR RR-2,,Colpitts et al.,doi.org/10.1371/journal.ppat.1002189
Aae_PC,Aedes aegypti,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,CPR RR-2,,Huang et al.,doi.org/10.1002/pro.4761
Aal_Cp19,Aedes albopictus,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Aedes,,,Arnoldi et al. ,DOI: 10.1016/j.cub.2022.06.049
Ace_CPR2,Apis cerana cerana,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apidae,Apis,CPR RR-1,,Tan et al. ,doi.org/10.1111/imb.12792
Aga_CPAP3-A1b,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPAP3-A1b,Anopheles gambiae arabiensis,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/1475-2875-13-28
Aga_CPAP3-A1c,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPAP3-A1c,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPAP3-B,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPAP3-C,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPF3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPF3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPF3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Vannini et al.,doi.org/10.1186/1756-3305-7-24
Aga_CPF4,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCA1,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCA2,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCG14,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCG15,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCG15,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/s13071-014-0480-z
Aga_CPLCG3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Vannini et al.,doi.org/10.1186/1756-3305-7-24
Aga_CPLCG4,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/s13071-014-0480-z
Aga_CPLCG4,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Vannini et al.,doi.org/10.1186/1756-3305-7-24
Aga_CPLCG5,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCG5,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/s13071-014-0480-z
Aga_CPLCG5,Anopheles gambiae arabiensis,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/1475-2875-13-28
Aga_CPLCP11,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCP3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Saizonou et al.,doi.org/10.1186/s12864-024-10261-x
Aga_CPLCX1,Anopheles gambiae arabiensis,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/1475-2875-13-28
Aga_CPLCX2,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPLCX3,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR10,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR10,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,doi.org/10.1186/s12864-024-10261-x
Aga_CPR106,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR116,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR117,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR120,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR121,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR123,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR124,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR125,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR126,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR127,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR127,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR130,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR130,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR135,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR140,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR144,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR15,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR151,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR151,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR16,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR16,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR30,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Bonizzoni et al.,doi.org/10.1371/journal.pone.0044607
Aga_CPR31,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Nkya et al.,doi.org/10.1186/s13071-014-0480-z
Aga_CPR5,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR58,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR59,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR59,Anopheles gambiae arabiensis,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Nkya et al.,doi.org/10.1186/1475-2875-13-28
Aga_CPR62,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR70,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR75,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR76,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR8,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR81,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_CPR81,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,10.1186/s12864-024-10261-x
Aga_CPR9,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPR,,Saizonou et al.,doi.org/10.1186/s12864-024-10261-x
Aga_P000745-PA,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_P000986-PA,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_P000989-PA,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_P003308-PB,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_P005993-PA,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_P006370-PA,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,,,Balabanidou et al.,doi.org/10.1098/rspb.2019.1091
Aga_TWDL1,Anopheles gambiae,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPT,,Saizonou et al.,10.1186/s12864-024-10261-x
Ago_SgAbd2-like,Aphis gossypii,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Aphis,CPR RR-1,,"Guo, Qu et al.",doi.org/10.1111/1744-7917.13499
Ame_Twdl1,Apis mellifera,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apidae,Apis,CPT,,Soares et al.,doi.org/10.1371/journal.pone.0020513
Ame_Twdl2,Apis mellifera,Arthropoda,Hexapoda,Insecta,Hymenoptera,Apidae,Apis,CPT,,Soares et al.,doi.org/10.1371/journal.pone.0020513
Api_CP62,Acyrthosiphon pisum,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,CPR,,Ma et al.,doi.org/10.1016/j.ijbiomac.2024.133402
Api_CP7,Acyrthosiphon pisum,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,CPR,,Ma et al.,doi.org/10.1016/j.ijbiomac.2024.133402
Api_Stylin-01,Acyrthosiphon pisum,Arthropoda,Hexapoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,CPR RR-1,,Fu et al.,doi.org/10.1371/journal.ppat.1013192
Asi_CPF1,Anopheles sinensis,Arthropoda,Hexapoda,Insecta,Diptera,Culicidae,Anopheles,CPF,,"Li, Gu et al.",doi.org/10.3390/ijms26052182
Bdo_CPAP3-A1,Bactrocera dorsalis,Arthropoda,Hexapoda,Insecta,Diptera,Tephritidae,Bactrocera,CPAP,,Hou et al.,doi.org/10.1111/1744-7917.12869
